ward,first,last,website,facebook,twitter,photo
2,Brian,Hopkins,http://www.brianhopkinsforchicago.com/,,http://twitter.com/HopkinsChicago,images/alderpeople/2-Brian-Hopkins.jpeg
10,John,Pope,http://johnpope.org,,,images/alderpeople/10-John-Pope.jpg
15,Raymond,Lopez,http://electlopez.com,,http://twitter.com/RLopez15thWard,images/alderpeople/15-Raymond-Lopez.jpeg
20,Willie,Cochran,http://the20thward.com,,http://twitter.com/ALDERMANWBC,images/alderpeople/20-Willie-Cochran.jpg
21,Howard,Brookins,,,http://twitter.com/Ald_Brookins21,images/alderpeople/21-Howard-Brookins%20Jr..jpeg
29,Deborah,Graham,,https://www.facebook.com/aldermandeborah.graham/about,,images/alderpeople/29-Deborah-Graham.png
31,"Regner ""Ray""",Suarez,http://ward31.com,,,images/alderpeople/31-Ray-Suarez.png
36,Omar,Aquino,http://omaraquino.com,,http://twitter.com/OmarAquino36,images/alderpeople/36-Omar-Aquino.jpg
43,Michele,Smith,http://ward43.org,,,images/alderpeople/43-Michele-Smith.jpg
45,John,Arena,http://arenafor45.com,,http://twitter.com/JohnArena445,images/alderpeople/45-John-Arena.jpeg
2,Alyx,Pattison,http://alyxpattison.org/,,http://twitter.com/AlyxPattison,images/alderpeople/2-Alyx-Pattison.jpeg
10,Susan,Sadlowski-Garza,http://ssgarz.com,,http://twitter.com/SSadlowskiGarza,images/alderpeople/10-Susan-Sadlowski-Garza.png
15,Rafael,Yanez,http://rafaelyanezforalderman.com/,,,images/alderpeople/15-Rafael-Yanez.png
20,Kevin,Bailey,http://www.electkevinbailey.com/,,,images/alderpeople/20-Kevin-Bailey.jpg
21,Marvin,McNeil,http://www.marvinmcneil.com/,,,images/alderpeople/21-Marvin-McNeil.jpg
29,Chris,Taliaferro,http://www.29thward.com,,http://twitter.com/chris29thward,images/alderpeople/29-Chris-Taliaferro.png
31,Milly,Santiago,http://millysantiago.com/,,,images/alderpeople/31-Milly-Santiago.jpg
36,Gilbert,Villegas,http://www.gilbert2015.com,,http://twitter.com/gilbert36ward,images/alderpeople/36-Gilbert-Villegas.jpeg
43,Caroline,Vickrey,http://carolinefor43.com,,http://twitter.com/ckvickrey,images/alderpeople/43-Caroline-Vickrey.jpeg
45,John,Garrido,http://johngarrido.com/,,http://twitter.com/JohnGarridoIII,images/alderpeople/45-John-Garrido.jpeg
7,Natashia,Holmes,http://iam7chicago.com,,http://twitter.com/Ald7Holmes,http://www.chicagovoterguide.org/images/alderpeople/7-Natasha-Holmes.jpeg
11,Patrick,Thompson,http://patrickdthompson.com,,http://twitter.com/PatDThompson,http://www.chicagovoterguide.org/images/alderpeople/11-Patrick-Thompson.jpeg
16,Toni,Foulkes,http://aldermanfoulkes.com,,http://twitter.com/tonifoulkes,http://www.chicagovoterguide.org/images/alderpeople/16-Toni-Foulkes.jpg
18,Derrick,Curtis,,https://www.facebook.com/derrick.curtis.18,http://twitter.com/Dgc018Derrick,http://www.chicagovoterguide.org/images/alderpeople/18-Derrick-Curtis.jpeg
24,Michael,Scott Jr,http://citizensformichaelscottjr.com/,,http://twitter.com/citizens4scott,http://www.chicagovoterguide.org/images/alderpeople/24-Michael-Scott%20Jr.png
33,Deb,Mell,http://33rdward.org,,http://twitter.com/debmell,http://www.chicagovoterguide.org/images/alderpeople/33-Deb-Mell.jpg
37,Emma,Mitts,http://aldermanmitts.com,,http://twitter.com/EmmaMittsAld37,http://www.chicagovoterguide.org/images/alderpeople/37-Emma-Mitts.jpg
41,Mary,O'Connor,http://ward41.com,https://www.facebook.com/aldermanmaryoconnor,,41-Mary-O'Connor.jpg
46,James,Cappleman,http://james46.org,,http://twitter.com/JamesCappleman,http://www.chicagovoterguide.org/images/alderpeople/46-James-Cappleman.jpg
7,Greg,Mitchell,http://mitchellforalderman.com,,http://twitter.com/Mitchell7thWard,http://www.chicagovoterguide.org/images/alderpeople/7-Greg-Mitchell.jpg
11,John,Kozlar,http://johnkozlar.com,,http://twitter.com/JohnKozlar,http://www.chicagovoterguide.org/images/alderpeople/11-John-Kozlar.png
16,Stephanie,Coleman,http://daughterofenglewood.com/,https://www.facebook.com/DaughterOfEnglewood,https://twitter.com/teamdoe16,21-Stephanie-Coleman.jpeg
18,Lona,Lane,http://lonalane18thward.com,,http://twitter.com/lona_lane,http://www.chicagovoterguide.org/images/alderpeople/18-Lona-Lane.jpg
24,Vetress,Boyce,,https://www.facebook.com/CandidateVetressBoyce,http://twitter.com/Boyce4Alderman,http://www.chicagovoterguide.org/images/alderpeople/24-Vetress-Boyce.jpg
33,Tim,Meegan,https://www.meegan4ward33.com,,http://twitter.com/Meegan4ward33,http://www.chicagovoterguide.org/images/alderpeople/33-Tim-Meegan.jpg
37,Tara,Stamps,http://stampsfor37.com,,http://twitter.com/stampstara,http://www.chicagovoterguide.org/images/alderpeople/37-Tara-Stamps.jpg
41,Anthony,Napolitano,http://www.napolitano41stward.com,,http://twitter.com/NapolitanoFor41,http://www.chicagovoterguide.org/images/alderpeople/41-Anthony-Napolitano.jpeg
46,Amy,Crawford,https://amyfor46.wordpress.com,,http://twitter.com/amyfor46,http://www.chicagovoterguide.org/images/alderpeople/46-Amy-Crawford.jpeg
